ano,espvida,fectot,mort1,sobre60,e_anosestudo,gini,ppobcri,pren20ricos,pren80,rdpc,rdpc1,rdpc10,rmpob,rpob,theil,emp,theiltrab,t_banagua,t_lixo,t_luz,t_fora6a14,t_fundin_todos,t_m10a14cf,t_mulchefefif014,homemtot,mulhertot,pesorur,pesourb,i_escolaridade,idhm,idhm_l
1991,63.83,4.63,40.39,69.99,6.2,0.61,86.5,64.41,35.59,161.96,11.11,772.41,55.49,81.54,0.58,,,15.15,47.96,45.2,53.19,28.46,0.2,17.08,11379,10804,11814,10369,134,317,647
1991,61.68,6.31,48.24,65.94,6.0,0.57,94.37,61.89,38.11,131.44,22.38,633.91,60.22,77.5,0.54,,,9.45,39.64,33.38,65.89,31.19,0.69,20.5,13005,12152,15718,9439,76,274,611
1991,63.73,5.01,40.73,69.8,5.67,0.55,92.02,58.27,41.73,175.31,22.04,767.08,65.26,101.58,0.55,,,12.08,54.07,46.68,46.36,32.97,1.3,21.8,5736,5521,6185,5072,136,348,646
1991,62.33,5.3,45.75,67.18,4.37,0.48,97.23,52.05,47.95,137.41,28.32,508.13,71.58,97.29,0.38,,,0.71,47.83,27.87,50.0,38.44,0.42,13.01,2685,2135,4024,797,74,259,622
1991,63.41,7.3,49.58,69.96,4.59,0.63,91.04,66.02,33.98,165.64,8.4,823.83,53.0,78.79,0.6,,,4.57,0.67,48.31,54.23,26.82,1.27,18.7,4458,4029,5131,3356,0.07,306,0.64
1991,60.91,7.81,59.59,65.73,5.22,0.7,90.9,72.42,27.58,112.32,0.0,586.1,36.41,52.33,0.52,,,4.16,59.24,39.0,59.22,17.01,0.0,16.86,2442,2296,2825,1913,88,254,599
1991,60.4,6.9,61.77,64.86,5.72,0.53,89.46,58.33,41.67,184.6,40.65,842.95,80.28,104.63,0.49,,,2.28,0.0,30.06,23.1,31.97,0.0,10.45,3161,2863,4693,1331,48,307,0.59
1991,60.71,6.86,60.44,65.39,7.2,0.46,86.18,51.61,48.39,168.24,39.11,597.02,76.61,106.04,0.35,,,14.37,0.0,67.93,28.56,27.51,0.73,10.72,4669,4321,3889,5101,127,357,595
1991,62.31,5.62,53.88,68.09,6.02,0.59,76.5,61.68,38.32,233.59,22.34,991.98,58.49,91.73,0.64,,,9.99,18.7,37.55,27.6,33.04,0.0,26.74,3116,2616,3413,2319,75,322,622
1991,63.41,7.81,49.58,69.96,2.63,0.76,93.73,76.41,23.59,95.57,0.0,544.16,26.69,47.85,0.46,,,26.51,32.09,44.4,71.7,22.17,0.0,20.17,4252,3741,5832,2161,52,246,0.64
1991,63.41,5.25,49.58,69.96,5.2,0.7,90.16,73.27,26.73,187.62,8.98,1133.22,53.01,76.74,0.81,,,23.54,24.55,40.08,36.84,28.34,0.0,8.25,8930,8177,10744,6363,116,357,0.64
1991,61.87,6.63,55.64,67.35,5.12,0.43,85.86,48.87,51.13,200.7,51.18,666.46,84.98,125.78,0.31,,,7.22,44.77,41.12,50.44,29.03,0.0,8.64,5837,5198,7017,4018,88,317,615
1991,62.17,6.18,54.43,67.86,5.75,0.52,88.69,54.54,45.46,122.12,9.21,436.65,56.92,82.79,0.36,,,14.49,0.0,36.06,40.38,27.88,0.0,12.07,8590,7726,10693,5623,95,293,0.62
1991,62.31,6.73,53.88,68.09,6.25,0.73,100.0,76.22,23.78,98.76,7.37,656.0,60.81,80.24,0.94,,,41.4,38.54,68.25,44.79,26.28,2.46,12.56,10023,9342,7826,11539,99,0.3,622
